Which year are you currently studying in?,What is your department?,What is your professional inclination in short term after college? 
Fourth Year/BTECH,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Second Year,Non-Circuital,Core Engineering
Fourth Year/BTECH,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Second Year,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Second Year,Non-Circuital,"Not decided yet, still exploring"
Fourth Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/DD,Non-Circuital,Core Engineering
Fourth Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/BTECH,Non-Circuital,Core Engineering
Second Year,Non-Circuital,Higher Studies
Fourth Year/DD,Non-Circuital,Core Engineering
Fourth Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,Non-Circuital,Core Engineering
Third Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,Non-Circuital,"Not decided yet, still exploring"
Fourth Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Fifth Year,Non-Circuital,"Not decided yet, still exploring"
Third Year/BTECH,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Second Year,Non-Circuital,Higher Studies
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Fourth Year/DD,Non-Circuital,Core Engineering
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Second Year,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,Non-Circuital,Higher Studies
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]",Core Engineering
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Third Year/DD,"Circuital [CSE,EE,ECE]",Core Engineering
Third Year/DD,Non-Circuital,Higher Studies
Third Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,"Circuital [CSE,EE,ECE]",Core Engineering
Fourth Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]",Core Engineering
Fourth Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Third Year/DD,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,"Circuital [CSE,EE,ECE]",Core Engineering
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Fourth Year/BTECH,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Fourth Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,"Circuital [CSE,EE,ECE]","Not decided yet, still exploring"
Third Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Third Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,Non-Circuital,"Not decided yet, still exploring"
Fourth Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/BTECH,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Fourth Year/DD,Non-Circuital,Core Engineering
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Third Year/DD,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/DD,Non-Circuital,"Not decided yet, still exploring"
Fourth Year/DD,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,Non-Circuital,"Not decided yet, still exploring"
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,Non-Circuital,"Not decided yet, still exploring"
Second Year,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Fourth Year/DD,Non-Circuital,"Not decided yet, still exploring"
Fourth Year/BTECH,Non-Circuital,"Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]",Core Engineering
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Tech-Oriented Job [Software, Analytics, Machine Learning etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]",Core Engineering
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
Third Year/BTECH,"Circuital [CSE,EE,ECE]",Core Engineering
Third Year/BTECH,"Circuital [CSE,EE,ECE]",Core Engineering
Third Year/BTECH,"Circuital [CSE,EE,ECE]","Not decided yet, still exploring"
Fourth Year/DD,Non-Circuital,"Non Tech-oriented Job [Finance, Management, Arts, Public Services etc]"
