Participant ID,Age,Gender (1 = female 2 = male),Day1TotalChecks,Day2TotalChecks,Day3TotalChecks,Day4TotalChecks,Day5TotalChecks,Day6TotalChecks,Day7TotalChecks,Day8TotalChecks,Day9TotalChecks,Day10TotalChecks,Day11TotalChecks,Day12TotalChecks,Day13TotalChecks,Day1HoursUse,Day2HoursUse,Day3HoursUse,Day4HoursUse,Day5HoursUse,Day6HoursUse,Day7HoursUse,Day8HoursUse,Day9HoursUse,Day10HoursUse,Day11HoursUse,Day12HoursUse,Day13HoursUse,totalhoursweek1,totalhoursweek2,totalchecksweek1,totalchecksweek2,total_use,total_checks
a78403c4-efed-4327-9c82-a7adf79be146,19,1,130,94,74,67,118,89,116,74,72,92,78,118,67,8.205528,7.384061,8.390797,8.072169,7.0501,11.16721,4.994406,5.395997,4.629186,6.706592,4.477972,4.287133,5.437422,50.26987,35.92871,572,617,86.19858,1189
ff47687c-fb5c-4e0e-9bec-86b4cb2f2494,19,1,20,3,7,22,39,30,18,15,17,10,17,20,34,4.512386,0.975544,1.309422,1.797156,2.903528,2.415019,2.242753,3.511464,1.904025,2.236072,3.469325,1.765047,1.708908,13.91306,16.83759,121,131,30.75065,252
0d7daff2-fa66-4195-aab0-634e58a51e9c,33,1,25,5,28,30,11,36,17,30,1,30,20,59,27,0.868458,0.605531,0.495183,0.4408,0.679892,0.5283,1.087419,2.461694,0.084575,0.533169,0.642503,0.933017,0.978194,3.618164,6.720572,135,184,10.33874,319
6a991364-08cb-43a0-b381-31fe42161e4c,21,1,8,9,8,16,8,13,16,10,16,22,17,7,22,1.28985,1.409725,3.035044,1.892811,2.039036,1.364911,1.226406,2.090361,1.828708,2.080756,9.80005,0.960389,1.637836,11.03138,19.62451,62,110,30.65588,172
b1233bc3-bfd3-4791-a48a-f3aa2ab8f475,33,1,2,2,2,6,5,0,4,1,5,4,4,3,4,6.212333,16.81664,2.788219,2.101381,2.557411,11.43077,1.909389,4.468028,3.918183,2.403689,6.589158,1.865958,1.838511,41.90675,22.99292,17,25,64.89967,42
2b7f3ffd-f0a6-4f6f-9a1c-f134d1c7cf86,20,1,17,124,35,14,30,33,44,43,42,28,15,35,25,3.512275,6.675533,14.34631,2.818631,19.26742,3.297911,11.97926,4.370736,5.267592,4.763736,14.73112,4.956139,15.44705,49.91808,61.51563,253,232,111.4337,485
9c8537a6-99f6-450c-a108-0ed2a98ac436,19,1,120,123,63,82,124,155,104,98,83,85,106,114,117,4.784547,3.218047,1.524142,2.210953,4.732169,2.252403,3.752581,1.1532,3.148547,4.929314,10.09008,10.54044,3.553019,18.72226,37.16718,667,707,55.88944,1374
05489ce0-a21a-4444-9cfa-bf7ffa9e7fb9,19,2,73,44,78,59,31,36,141,124,79,63,88,53,79,1.768611,0.783167,0.978378,1.358503,0.239283,0.893189,1.498483,1.551656,1.304639,1.032428,1.569747,2.114217,1.075469,6.021131,10.14664,321,627,16.16777,948
b8d344e5-951c-4ac0-8455-44fecc0408b0,28,1,51,34,25,49,63,36,30,33,30,14,50,29,38,3.748222,2.164989,1.974822,0.908836,1.417689,0.688239,1.076844,1.243489,1.446817,1.723733,1.617125,0.737728,1.038672,10.9028,8.884408,258,224,19.78721,482
5ce5e5b1-9f83-46f0-beb4-6d0d8547b913,19,2,14,281,56,95,43,74,81,44,188,44,152,42,62,0.775114,3.322697,0.639083,1.992556,1.055425,1.493633,1.150333,1.377,1.700553,0.479,2.449822,10.03815,1.418764,9.278508,18.61362,563,613,27.89213,1176
